date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:51	376/376	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:07:42%20GMT	https://www.stacylelfitness.com/robots.txt		(from )
15:36:51	635098/635098	---MCZ	200	added ('OK')	text/html	etag:W/%22d027c0630a65bd8269fa1142d977bf6e%22	https://www.stacylelfitness.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/www.stacylelfitness.com/index.html	(from )
15:36:51	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.stacylelfitness.com/)
15:36:51	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.stacylelfitness.com/)
15:36:51	1232/1232	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2010:07:42%20GMT	https://static.wixstatic.com/media/3bb39c_b97cd1b862424635adaedd1c428ba6c4~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/3bb39c_b97cd1b862424635adaedd1c428ba6c4~mv2.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/static.wixstatic.com/media/3bb39c_b97cd1b862424635adaedd1c428ba6c4_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/3bb39c_b97cd1b862424635adaedd1c428ba6c4_mv2.0	(from https://www.stacylelfitness.com/)
15:36:52	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/polyfill.io/v3/polyfill.mind82c.js	(from https://www.stacylelfitness.com/)
15:36:52	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.stacylelfitness.com/)
15:36:53	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:07:44%20GMT	https://www.stacylelfitness.com/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/www.stacylelfitness.com/decodeURIComponent(e	(from https://www.stacylelfitness.com/)
15:36:54	372/372	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:07:45%20GMT	https://www.stacylelfitness.com/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/www.stacylelfitness.com/sitemap.xml	(from https://www.stacylelfitness.com/)
15:36:54	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:07:45%20GMT	https://www.stacylelfitness.com/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web36/Site36/www.stacylelfitness.com/feed.xml	(from https://www.stacylelfitness.com/)
